review_id,split,label,label_name,char_count,word_count,avg_word_length,exclaim_count,question_count,negation_count,positive_word_count,negative_word_count
0,train,1,pos,749,137,4.1678832116788325,1,0,1,0,0
1,train,1,pos,2151,425,3.948235294117647,0,1,6,1,0
2,train,1,pos,772,149,4.02013422818792,0,0,1,4,0
3,train,1,pos,613,124,3.7903225806451615,0,0,5,1,0
4,train,1,pos,603,121,3.84297520661157,0,0,1,4,0
5,train,1,pos,885,168,4.059523809523809,0,0,4,1,0
6,train,1,pos,538,104,4.0576923076923075,1,0,1,3,0
7,train,1,pos,1908,328,4.478658536585366,0,2,2,2,0
8,train,1,pos,2275,433,4.145496535796767,0,2,9,4,0
9,train,1,pos,1661,320,4.034375,0,0,2,6,0
10,train,1,pos,1411,275,4.043636363636364,5,1,2,2,1
11,train,1,pos,413,83,3.8433734939759034,0,0,0,0,0
12,train,1,pos,1473,280,4.125,0,0,4,1,0
13,train,1,pos,1111,218,3.9862385321100917,0,0,5,6,0
14,train,1,pos,689,144,3.6875,0,0,5,5,0
15,train,1,pos,792,159,3.8679245283018866,0,0,2,1,1
16,train,1,pos,990,193,3.989637305699482,0,0,3,0,0
17,train,1,pos,1675,319,4.19435736677116,2,0,5,5,1
18,train,1,pos,682,127,4.283464566929134,0,0,2,1,0
19,train,1,pos,744,150,3.8133333333333335,2,0,2,1,0
20,train,1,pos,1116,217,3.9907834101382487,0,1,6,1,0
21,train,1,pos,2857,551,4.023593466424682,1,4,11,5,0
22,train,1,pos,912,172,4.1686046511627906,0,0,0,2,0
23,train,1,pos,1065,186,4.586021505376344,1,0,1,0,3
24,train,1,pos,690,139,3.7194244604316546,0,1,1,0,0
25,train,1,pos,520,99,4.101010101010101,0,0,1,0,0
26,train,1,pos,588,107,4.336448598130841,0,0,1,2,0
27,train,1,pos,1590,309,4.009708737864078,0,1,5,2,1
28,train,1,pos,704,150,3.58,0,0,1,4,0
29,train,1,pos,743,142,4.169014084507042,0,0,2,0,0
30,train,1,pos,1182,244,3.6885245901639343,3,4,6,6,2
31,train,1,pos,507,111,3.4234234234234235,3,0,4,3,0
32,train,1,pos,801,163,3.8588957055214723,0,0,4,3,1
33,train,1,pos,882,162,4.246913580246914,3,1,3,0,0
34,train,1,pos,2101,430,3.718604651162791,0,4,15,2,3
35,train,1,pos,2126,398,3.8391959798994977,5,2,4,3,2
36,train,1,pos,258,53,3.7169811320754715,0,0,0,1,0
37,train,1,pos,1521,294,4.01360544217687,1,2,13,5,1
38,train,1,pos,1085,219,3.7990867579908674,0,0,2,8,0
39,train,1,pos,1758,334,4.032934131736527,2,1,2,3,1
40,train,1,pos,1846,358,4.097765363128492,0,0,0,8,0
41,train,1,pos,805,159,3.893081761006289,12,0,1,7,0
